# Mode: w_phi
# Eigenvalue: -1.680428644990607
# Normalization: 1.0000000000000002
# Nodes: 0
# Normalizable: True
chi_GeV_inv,profile,profile_squared
-1.7269200000e+00,1.5667648838e-01,2.4547522012e-02
-1.7162600000e+00,1.5885335260e-01,2.5234387631e-02
-1.7056000000e+00,1.6106019478e-01,2.5940386342e-02
-1.6949400000e+00,1.6329740746e-01,2.6666043282e-02
-1.6842800000e+00,1.6556538677e-01,2.7411897297e-02
-1.6736200000e+00,1.6786453243e-01,2.8178501247e-02
-1.6629600000e+00,1.7019524758e-01,2.8966422299e-02
-1.6523000000e+00,1.7255793878e-01,2.9776242234e-02
-1.6416400000e+00,1.7495301582e-01,3.0608557745e-02
-1.6309800000e+00,1.7738089170e-01,3.1463980740e-02
-1.6203200000e+00,1.7984198243e-01,3.2343138645e-02
-1.6096600000e+00,1.8233670695e-01,3.3246674701e-02
-1.5990000000e+00,1.8486548695e-01,3.4175248267e-02
-1.5883400000e+00,1.8742874676e-01,3.5129535113e-02
-1.5776800000e+00,1.9002691313e-01,3.6110227713e-02
-1.5670200000e+00,1.9266041507e-01,3.7118035536e-02
-1.5563600000e+00,1.9532968368e-01,3.8153685325e-02
-1.5457000000e+00,1.9803515188e-01,3.9217921379e-02
-1.5350400000e+00,2.0077725425e-01,4.0311505823e-02
-1.5243800000e+00,2.0355642674e-01,4.1435218867e-02
-1.5137200000e+00,2.0637310643e-01,4.2589859058e-02
-1.5030600000e+00,2.0922773126e-01,4.3776243528e-02
-1.4924000000e+00,2.1212073971e-01,4.4995208216e-02
-1.4817400000e+00,2.1505257052e-01,4.6247608086e-02
-1.4710800000e+00,2.1802366232e-01,4.7534317330e-02
-1.4604200000e+00,2.2103445331e-01,4.8856229549e-02
-1.4497600000e+00,2.2408538086e-01,5.0214257915e-02
-1.4391000000e+00,2.2717688113e-01,5.1609335320e-02
-1.4284400000e+00,2.3030938863e-01,5.3042414493e-02
-1.4177800000e+00,2.3348333581e-01,5.4514468099e-02
-1.4071200000e+00,2.3669915252e-01,5.6026488804e-02
-1.3964600000e+00,2.3995726562e-01,5.7579489321e-02
-1.3858000000e+00,2.4325809835e-01,5.9174502414e-02
-1.3751400000e+00,2.4660206988e-01,6.0812580869e-02
-1.3644800000e+00,2.4998959466e-01,6.2494797437e-02
-1.3538200000e+00,2.5342108185e-01,6.4222244725e-02
-1.3431600000e+00,2.5689693469e-01,6.5996035052e-02
-1.3325000000e+00,2.6041754982e-01,6.7817300255e-02
-1.3218400000e+00,2.6398331660e-01,6.9687191444e-02
-1.3111800000e+00,2.6759461638e-01,7.1606878713e-02
-1.3005200000e+00,2.7125182172e-01,7.3577550785e-02
-1.2898600000e+00,2.7495529564e-01,7.5600414601e-02
-1.2792000000e+00,2.7870539077e-01,7.7676694844e-02
-1.2685400000e+00,2.8250244848e-01,7.9807633399e-02
-1.2578800000e+00,2.8634679803e-01,8.1994488740e-02
-1.2472200000e+00,2.9023875557e-01,8.4238535235e-02
-1.2365600000e+00,2.9417862326e-01,8.6541062384e-02
-1.2259000000e+00,2.9816668821e-01,8.8903373956e-02
-1.2152400000e+00,3.0220322145e-01,9.1326787057e-02
-1.2045800000e+00,3.0628847690e-01,9.3812631083e-02
-1.1939200000e+00,3.1042269021e-01,9.6362246597e-02
-1.1832600000e+00,3.1460607763e-01,9.8976984084e-02
-1.1726000000e+00,3.1883883486e-01,1.0165820261e-01
-1.1619400000e+00,3.2312113577e-01,1.0440726838e-01
-1.1512800000e+00,3.2745313121e-01,1.0722555314e-01
-1.1406200000e+00,3.3183494767e-01,1.1011443249e-01
-1.1299600000e+00,3.3626668599e-01,1.1307528410e-01
-1.1193000000e+00,3.4074841997e-01,1.1610948571e-01
-1.1086400000e+00,3.4528019501e-01,1.1921841306e-01
-1.0979800000e+00,3.4986202664e-01,1.2240343769e-01
-1.0873200000e+00,3.5449389912e-01,1.2566592451e-01
-1.0766600000e+00,3.5917576388e-01,1.2900722936e-01
-1.0660000000e+00,3.6390753807e-01,1.3242869626e-01
-1.0553400000e+00,3.6868910296e-01,1.3593165464e-01
-1.0446800000e+00,3.7352030241e-01,1.3951741631e-01
-1.0340200000e+00,3.7840094124e-01,1.4318727233e-01
-1.0233600000e+00,3.8333078363e-01,1.4694248968e-01
-1.0127000000e+00,3.8830955150e-01,1.5078430778e-01
-1.0020400000e+00,3.9333692280e-01,1.5471393484e-01
-9.9138000000e-01,3.9841252991e-01,1.5873254399e-01
-9.8072000000e-01,4.0353595790e-01,1.6284126932e-01
-9.7006000000e-01,4.0870674289e-01,1.6704120168e-01
-9.5940000000e-01,4.1392437031e-01,1.7133338434e-01
-9.4874000000e-01,4.1918827326e-01,1.7571880844e-01
-9.3808000000e-01,4.2449783075e-01,1.8019840831e-01
-9.2742000000e-01,4.2985236607e-01,1.8477305661e-01
-9.1676000000e-01,4.3525114509e-01,1.8944355930e-01
-9.0610000000e-01,4.4069337461e-01,1.9421065043e-01
-8.9544000000e-01,4.4617820072e-01,1.9907498679e-01
-8.8478000000e-01,4.5170470714e-01,2.0403714246e-01
-8.7412000000e-01,4.5727191373e-01,2.0909760309e-01
-8.6346000000e-01,4.6287877484e-01,2.1425676020e-01
-8.5280000000e-01,4.6852417787e-01,2.1951490525e-01
-8.4214000000e-01,4.7420694176e-01,2.2487222361e-01
-8.3148000000e-01,4.7992581562e-01,2.3032878850e-01
-8.2082000000e-01,4.8567947736e-01,2.3588455473e-01
-8.1016000000e-01,4.9146653241e-01,2.4153935248e-01
